textile_type,qty_exported,countries_exported,type_of_product,per_unit_cost,total_price,year_of_export,month_of_export,customer_name,seller_name
wool,202,Japan,Dress,82.68,16701.36,2022,Dec,Matthew Cruz,Ms. Priscilla Castro
rayon,351,Malaysia,Blouse,96.29,33797.79,2022,Nov,Cathy Bernard,Colin Hartman
cotton,452,France,Blouse,11.61,5247.72,2020,Oct,Julie Alvarez,Malik Rodriguez
wool,77,China,Dress,57.66,4439.82,2020,Jul,Thomas Smith,Craig Marshall
silk,29,Germany,Skirt,29.36,851.44,2021,Jul,Dr. Daniel Thompson,Tara Miller
batik,302,India,Blouse,59.62,18005.24,2020,Sep,Dana Reeves,Jackie Hall
batik,423,United Kingdom,Headwear,6.18,2614.14,2020,Oct,Kyle Gutierrez,Danny Wilson
linen,390,Austria,Skirt,14.64,5709.6,2020,Nov,Michelle Gutierrez,Caleb Martinez
batik,411,Vietnam,Shawl,53.38,21939.18,2021,Dec,John Jones,Ronald Bautista
linen,328,China,Dress,88.65,29077.2,2022,Mar,Katie Blevins,Leslie Harvey
batik,108,Indonesia,Headwear,11.3,1220.4,2020,Jun,Anna Moore,Jennifer Henderson
cotton,417,Bangladesh,Skirt,14.41,6008.97,2022,Feb,Billy Adams,Tyler Stephenson
flax,491,China,Blouse,67.54,33162.14,2021,Feb,Michael Schultz,Alexander Williams
spandex,155,Japan,Scarf,3.7,573.5,2020,Jul,Andrew Neal DVM,Jesse Dalton
jute,461,China,Dress,35.27,16259.47,2022,Feb,Steven Owen,Crystal Davidson
batik,121,China,Shirt,1.77,214.17,2020,Sep,Frederick King,Maria Rogers
batik,293,Malaysia,Blouse,59.74,17503.82,2022,Feb,Jody Gibbs,Kevin Hays
cotton,217,Japan,Dress,76.31,16559.27,2021,Dec,John Martinez,Tyler Tanner
batik,425,Hong Kong,Shirt,88.24,37502.0,2021,Feb,Mario Torres,Donna Crawford
batik,327,Vietnam,Shirt,41.24,13485.48,2020,Apr,Juan Murphy,Amanda Rios
linen,136,Japan,Blouse,76.99,10470.64,2020,Mar,David Love,Melissa Sawyer
silk,474,Hong Kong,Scarf,45.61,21619.14,2021,Jul,Kevin Carpenter,Caleb Hayden
batik,365,Malaysia,Shirt,46.51,16976.15,2022,Sep,Edgar Henry,Brent Ortiz
silk,305,Indonesia,Shirt,57.72,17604.6,2022,Jun,Debra Brown,Alyssa Lawson
spandex,133,Malaysia,Scarf,58.66,7801.78,2020,Jan,Matthew Lewis,Kevin Griffin
flax,13,Japan,Dress,43.47,565.11,2020,Jul,Melissa Freeman,Sharon Garcia
batik,298,Vietnam,Skirt,19.16,5709.68,2021,Jan,Teresa Miller,Robert Parker
silk,181,Japan,Headwear,44.97,8139.57,2020,Dec,Pamela Wiggins,Heather Davis
batik,92,Indonesia,Skirt,62.61,5760.12,2021,Dec,Stephanie Smith,Andrew Thompson
batik,376,Malaysia,Scarf,64.67,24315.92,2021,May,Bonnie Cisneros,Elizabeth Michael
batik,111,Pakistan,Dress,53.32,5918.52,2021,Feb,Michael Daugherty,Cameron Barnett
wool,77,Indonesia,Blouse,23.49,1808.73,2020,Nov,Amanda Taylor,Stacy Gonzalez
jute,392,United Kingdom,Dress,96.56,37851.52,2022,Jul,Mr. Allen Cruz III,Stacy Ortega
polyester,6,Vietnam,Scarf,30.8,184.8,2020,Feb,Patrick Guzman,Jacob Marquez
silk,413,Korea,Scarf,6.49,2680.37,2021,Oct,Larry Hansen,Erika Parker
silk,272,Indonesia,Skirt,11.08,3013.76,2021,Mar,Jessica Taylor,Mary Dyer
rayon,275,Malaysia,Dress,10.98,3019.5,2021,Jun,James Pearson,Roger Roberts
linen,21,Hong Kong,Pants,77.08,1618.68,2020,Apr,Matthew Murillo,Misty Nelson
batik,104,Pakistan,Dress,85.32,8873.28,2022,Apr,Patricia Manning,Lauren Duran
linen,334,Bangladesh,Skirt,76.14,25430.76,2020,Jan,Joseph Cooper,Rhonda Fox
batik,30,Malaysia,Skirt,34.22,1026.6,2021,Oct,Kevin Curtis,David Dunn
batik,281,Turkey,Shirt,49.38,13875.78,2020,Aug,Matthew Bradley,Tara Oneal
flax,60,Turkey,Blouse,72.3,4338.0,2021,Aug,Wesley Mclaughlin,Kayla Burns
polyester,442,Malaysia,Shirt,86.03,38025.26,2021,Nov,Jason Bernard,Jerry West
batik,403,Vietnam,Jacket,9.84,3965.52,2020,Nov,Crystal Weeks,Michael Sullivan
wool,300,Indonesia,Shirt,79.98,23994.0,2022,Feb,John Foster,Paul Davis
jute,253,China,Skirt,17.93,4536.29,2020,Jul,Mrs. Andrea Malone MD,Derek Hurley
rayon,156,Vietnam,Headwear,34.97,5455.32,2022,Nov,Adam Walls,Peter Brown
batik,154,Vietnam,Dress,50.24,7736.96,2021,Aug,Victor Powell,Amber Butler
wool,253,Indonesia,Bags,94.94,24019.82,2022,Sep,Donald Edwards,Christopher Brown
cotton,297,Hong Kong,Skirt,66.21,19664.37,2020,Aug,Linda King,Christina Spencer
spandex,464,Turkey,Headwear,90.11,41811.04,2021,Aug,Catherine Burch,Tammy Cooper
batik,376,Austria,Bags,53.23,20014.48,2020,Oct,Thomas Ewing,Susan Davis
batik,329,United States,Shirt,81.16,26701.64,2022,Aug,Jamie Farrell,Gabriel Wade
silk,444,Japan,Skirt,78.54,34871.76,2022,Sep,Jennifer Cox,Debra Reynolds
batik,251,India,Jacket,8.34,2093.34,2022,Jul,Thomas Bowman,Rebecca Graham MD
flax,255,Bangladesh,Skirt,24.17,6163.35,2021,Jan,Jaime Proctor,Debra Schaefer
linen,29,United States,Blouse,61.71,1789.59,2022,Jul,Walter Sanders,Ashley Morales
flax,223,Bangladesh,Shirt,54.08,12059.84,2022,Sep,Anita Avila,Brenda Johnson
spandex,169,Bangladesh,Jacket,43.56,7361.64,2022,Jun,Suzanne Smith,James Gray
polyester,183,India,Blouse,78.88,14435.04,2021,Jul,James Oliver,Kelly Ray
linen,210,Vietnam,Dress,75.88,15934.8,2022,Aug,Jonathon Sullivan,Crystal Klein
cotton,112,India,Scarf,48.0,5376.0,2020,Feb,Angela Dunn,Ralph Jordan
spandex,170,Indonesia,Skirt,43.89,7461.3,2021,Sep,Sharon Garcia,Peter Curry
batik,59,Bangladesh,Dress,42.21,2490.39,2020,Jul,Troy Townsend,David James
polyester,80,France,Shawl,75.09,6007.2,2022,Mar,John Hampton,Robert Evans
jute,92,Korea,Bags,23.97,2205.24,2021,Oct,Clarence Hernandez,Larry Holmes DVM
batik,306,Japan,Headwear,90.45,27677.7,2020,Apr,Mark Campbell,Amber Andrade
batik,301,China,Scarf,60.93,18339.93,2020,Oct,Paul Hammond,Paul Anderson
cotton,384,China,Headwear,36.98,14200.32,2021,Jul,Melissa Smith,Austin Owens
batik,461,Hong Kong,Shirt,8.85,4079.85,2021,Jun,William Hartman,Dylan Powell
rayon,88,Japan,Headwear,18.78,1652.64,2020,Feb,Gloria Henry,Kimberly Frazier
batik,346,Japan,Skirt,2.75,951.5,2020,Aug,Michele Brooks,Billy Rodriguez
spandex,12,United States,Skirt,53.08,636.96,2022,Jan,Gary Lowe,Kelly Neal
cotton,83,Pakistan,Pants,79.11,6566.13,2021,Jan,Alan Moore,William Martin
flax,212,Korea,Bags,39.45,8363.4,2022,Jan,Keith Blevins,Madison Clark
rayon,308,Indonesia,Scarf,16.77,5165.16,2020,Jul,Duane Jimenez,Mrs. Emily Matthews
nylon,17,Indonesia,Shirt,21.54,366.18,2022,Jul,James Nelson,Joel Reese
batik,369,Indonesia,Skirt,68.51,25280.19,2022,Jul,Kelly Bray,Johnathan King
flax,433,Hong Kong,Shirt,53.27,23065.91,2022,Aug,Jennifer Short,Amanda Haney
jute,106,Germany,Shirt,94.01,9965.06,2021,Jul,Melanie Garcia,Sarah Villa
batik,27,United Kingdom,Skirt,26.47,714.69,2020,Mar,Ryan Palmer,Brendan Morrison
nylon,287,Malaysia,Blouse,45.38,13024.06,2021,Jun,Andrew Harris,Steven Garcia
linen,468,China,Skirt,56.11,26259.48,2022,Sep,James Mathis,Adam Stewart
rayon,358,Japan,Dress,14.19,5080.02,2020,Apr,Matthew Parker,Dennis Morales
cotton,146,United Kingdom,Scarf,86.53,12633.38,2020,Apr,Scott Rodgers,Ashley Garcia
linen,14,Vietnam,Shirt,82.22,1151.08,2021,Aug,Katie Bass,Susan Garrison MD
nylon,312,Germany,Skirt,29.04,9060.48,2021,Jul,Thomas Hunt,Christopher Berry
nylon,34,Malaysia,Dress,81.77,2780.18,2021,Jan,James Maynard,William Burnett
silk,449,China,Shirt,9.54,4283.46,2020,Dec,Monica Howell,Anthony Mcfarland
jute,256,Japan,Skirt,96.7,24755.2,2022,Sep,Joshua Wolf,Robert Mcdaniel
nylon,497,Turkey,Jacket,67.75,33671.75,2021,Jul,Debra Evans,Mary Davis
linen,237,United States,Headwear,54.04,12807.48,2020,Feb,Taylor Mcclain,Ashley Brown
cotton,165,Vietnam,Shirt,7.2,1188.0,2022,May,Olivia Murphy,David Wallace
rayon,67,United Kingdom,Bags,62.17,4165.39,2022,Sep,Patrick Ruiz,Melissa Kelly
batik,261,Hong Kong,Shirt,64.74,16897.14,2020,Jun,Autumn Adams,Nicole Watts
rayon,386,Indonesia,Dress,90.88,35079.68,2020,Jun,Susan Sutton,Tony Hernandez
spandex,172,Indonesia,Jacket,78.77,13548.44,2022,Aug,Cory Gamble,Zachary Strickland
spandex,318,Vietnam,Scarf,64.96,20657.28,2021,Nov,Jean Gardner,Natalie Wagner
wool,324,Pakistan,Shirt,24.9,8067.6,2022,Jul,Scott Dillon,Dillon Walker
linen,242,Indonesia,Jacket,47.77,11560.34,2020,Nov,Thomas Smith,Louis Santana
batik,200,Malaysia,Blouse,40.6,8120.0,2020,Jul,Jason Harrison,Carol Green
wool,446,Malaysia,Blouse,40.35,17996.1,2022,Sep,Alex Jones,Natalie Dickerson DVM
batik,132,Vietnam,Dress,7.61,1004.52,2020,Oct,Emily Kim,Chelsea Norton
flax,272,Bangladesh,Shawl,89.88,24447.36,2020,Jul,Matthew Taylor,Vickie Hampton
wool,492,Indonesia,Jacket,86.64,42626.88,2022,Dec,William Garcia,Dr. Melissa Diaz
batik,402,Hong Kong,Skirt,31.23,12554.46,2021,Nov,Joshua Brown,Nathan Bowers
batik,151,Hong Kong,Blouse,68.31,10314.81,2021,Jan,Pamela Reese,Jeremy Fox
batik,191,United States,Dress,19.83,3787.53,2022,Feb,Shannon Holmes,David Clark
flax,242,Vietnam,Scarf,22.4,5420.8,2020,Dec,Anthony Shepherd,Brianna Barton
linen,3,Vietnam,Shawl,57.18,171.54,2020,Jun,Keith West,Rebecca Brown
polyester,129,Hong Kong,Skirt,46.44,5990.76,2021,Jul,Anthony Moore,Jose Moore
rayon,349,Malaysia,Dress,13.76,4802.24,2022,Mar,Heather Becker,Richard Russell
nylon,294,United States,Headwear,74.1,21785.4,2022,Dec,Mary Franklin,Timothy Holland
cotton,300,Indonesia,Bags,34.31,10293.0,2020,Feb,Jimmy Bell,Cory Brown
jute,389,Vietnam,Blouse,87.18,33913.02,2020,Apr,Travis Zimmerman,Kelsey Taylor
batik,109,United Kingdom,Scarf,66.03,7197.27,2022,Jan,Mason Parks,Travis Olson
linen,253,Malaysia,Blouse,17.61,4455.33,2021,Jan,Alisha Farmer,Dennis Aguilar
batik,463,Germany,Dress,69.72,32280.36,2021,May,Virginia Ramsey,Cynthia Brooks
nylon,237,China,Dress,64.17,15208.29,2022,Apr,George Hernandez,Ashley Johnson
batik,276,Japan,Skirt,44.97,12411.72,2021,Feb,Lori Bailey,Frederick Schmidt
spandex,105,Austria,Skirt,11.64,1222.2,2021,Sep,Sean Cervantes,Maria Scott
silk,482,China,Scarf,1.89,910.98,2022,Feb,Brendan Black,Katherine Martin
batik,120,Hong Kong,Scarf,32.48,3897.6,2020,May,Donna Phillips,Karen Lawson
linen,61,China,Skirt,43.77,2669.97,2021,Dec,Laurie Smith,John Meyer
rayon,4,Malaysia,Scarf,54.73,218.92,2022,Aug,Jessica Harris,Jason Torres
flax,484,Vietnam,Scarf,67.95,32887.8,2022,Oct,Theodore Carrillo,Joseph Lloyd
batik,148,Vietnam,Shirt,80.43,11903.64,2021,May,Kathleen Mitchell,Raymond Stanton
linen,30,Malaysia,Scarf,46.62,1398.6,2020,Jul,Mrs. Jessica Chen MD,Rebecca Allen
batik,320,China,Skirt,70.91,22691.2,2021,Aug,Zachary Bean,Bradley George
batik,189,Malaysia,Scarf,16.11,3044.79,2021,Jan,Michael Jackson,Edward Finley
nylon,238,Indonesia,Scarf,6.24,1485.12,2020,Feb,Ashley Fitzgerald,Lisa Brown
rayon,10,Hong Kong,Dress,63.01,630.1,2022,May,Andrew Miller,Katherine Jacobs
flax,298,Vietnam,Dress,86.11,25660.78,2020,Jul,Tracey Price,Chase Sullivan
batik,500,India,Headwear,91.82,45910.0,2022,Dec,Laura Dunn,Nicholas Price
silk,230,Indonesia,Headwear,88.54,20364.2,2021,Jan,Emily Bartlett,Jonathon Flowers
batik,143,Hong Kong,Scarf,18.16,2596.88,2020,Mar,Yolanda Mcintosh,Russell Miller
flax,473,China,Dress,11.02,5212.46,2022,Sep,David Wilson,Karen Steele
nylon,1,China,Blouse,64.12,64.12,2021,Oct,Mark Reid,Nicole Willis
jute,271,Pakistan,Blouse,3.69,999.99,2021,Jul,David Moon,Nicole Pham
batik,442,China,Scarf,74.12,32761.04,2020,May,Jennifer Santos,Candice Sanders
nylon,175,Bangladesh,Shirt,76.94,13464.5,2022,Aug,Michael Miranda,Courtney Scott
wool,423,Japan,Scarf,53.76,22740.48,2020,Aug,Michele Kline,Heidi Sutton
batik,10,Indonesia,Shawl,53.55,535.5,2021,Dec,Angela Gross,Brittany Harrison
rayon,33,United States,Dress,51.63,1703.79,2021,Jul,Juan Taylor,Teresa Johnson
batik,46,China,Dress,30.23,1390.58,2022,Sep,Wayne Jenkins,Timothy Brooks
linen,428,Italy,Shirt,1.45,620.6,2020,Jan,David Rodriguez,Robert Olson
flax,39,Indonesia,Pants,24.75,965.25,2021,Jun,Felicia Nguyen,Thomas Smith
cotton,414,Japan,Shirt,70.71,29273.94,2021,Nov,Roberta Collins,Michael Brown
batik,108,Hong Kong,Bags,58.09,6273.72,2020,Jul,Laura Flores,Justin Booker
rayon,301,Indonesia,Shirt,40.84,12292.84,2022,Oct,Claudia Gutierrez,Deborah Gonzalez
polyester,499,Malaysia,Shirt,95.82,47814.18,2022,Apr,Ruth Castro,Christopher Patterson
batik,479,United Kingdom,Shirt,95.13,45567.27,2022,Jul,William Bennett,Joann Randolph
rayon,470,China,Dress,94.58,44452.6,2022,May,Jacob Cole,Cassandra Romero
flax,94,India,Shawl,23.86,2242.84,2021,Jan,Lisa Parks,Julie Mccullough
silk,57,Malaysia,Scarf,45.52,2594.64,2022,Jun,Joshua Lewis,Sheila Johnson
batik,496,United Kingdom,Headwear,37.39,18545.44,2022,Jul,Noah Reyes,Courtney Castillo
nylon,92,Vietnam,Dress,0.24,22.08,2022,May,Melody Williams,Lindsey Mccoy
cotton,201,Pakistan,Scarf,31.87,6405.87,2020,Mar,Adam Lucas,Mr. Andrew Sanders
flax,325,Malaysia,Skirt,88.43,28739.75,2020,May,Heather Rodriguez,Larry Long
jute,127,China,Shirt,70.34,8933.18,2022,May,Steven Lucero,Adam Caldwell
jute,256,Hong Kong,Jacket,75.08,19220.48,2021,Jan,Sarah Ray,Helen Roberts
polyester,32,Hong Kong,Headwear,4.23,135.36,2021,Mar,Amber Avila,Jamie Roberts
wool,112,United States,Dress,52.65,5896.8,2020,Sep,Danielle Campbell,Joseph Guzman
nylon,350,Indonesia,Scarf,71.68,25088.0,2022,Jul,Carrie Martin,Elizabeth Page
silk,408,Vietnam,Shirt,94.89,38715.12,2020,Aug,Troy Cain,Eddie Jimenez
flax,448,Malaysia,Skirt,49.2,22041.6,2020,Feb,Blake Burgess,Seth Harris
jute,30,Vietnam,Shirt,26.0,780.0,2021,Jan,Jason Miles,Jennifer Jordan DVM
batik,258,Malaysia,Shawl,77.22,19922.76,2021,Jul,Cheryl Brewer,Ronald Graves
wool,257,China,Shirt,38.52,9899.64,2022,Dec,Stephanie Lewis,Morgan Russell
batik,353,United States,Dress,67.44,23806.32,2021,Oct,Carolyn Robles,Maria Fox
cotton,158,China,Shirt,82.74,13072.92,2021,May,Ronald Adams,Paige Manning
flax,124,Malaysia,Bags,51.35,6367.4,2022,Jul,Sandra Rivera,Joy Winters
rayon,169,Hong Kong,Shirt,89.25,15083.25,2020,Mar,Ariel Anderson,Heather Spencer
cotton,183,Pakistan,Scarf,78.81,14422.23,2022,Apr,James Wilkinson,Kevin Kramer
polyester,165,Malaysia,Jacket,40.79,6730.35,2021,Jan,Brittany Lee,John Fisher
silk,310,United States,Shawl,47.27,14653.7,2020,Jul,Jonathan Schultz,Andrea Cole
flax,328,Hong Kong,Dress,82.87,27181.36,2021,Jan,Tina Sanchez,Veronica Scott
batik,150,India,Dress,33.5,5025.0,2021,Jul,Scott Matthews,Kevin Henderson
flax,414,Vietnam,Skirt,85.13,35243.82,2021,Sep,Hannah Boone,Pedro Brown
polyester,342,United States,Shirt,53.37,18252.54,2022,Jan,Stephen Serrano,Carl Martinez
batik,338,Pakistan,Blouse,10.77,3640.26,2021,May,Connor Rollins,John Haynes
batik,411,Korea,Shawl,66.95,27516.45,2020,May,Barry Nelson,Sandra Griffin
batik,389,Vietnam,Blouse,83.58,32512.62,2022,May,Debra Solomon,Michelle Miller
nylon,44,Turkey,Dress,73.1,3216.4,2020,Mar,Ashley Fields,Angel Forbes
spandex,461,Indonesia,Skirt,38.17,17596.37,2022,Jan,Jacqueline Campbell,Kayla Hayes
spandex,172,Malaysia,Shawl,25.15,4325.8,2020,May,Amber Austin,Sarah Chandler
nylon,21,India,Shawl,82.08,1723.68,2020,Jan,Susan Brown,Wendy Curtis
nylon,422,Korea,Dress,19.75,8334.5,2022,Dec,William Garcia,Julie Stewart
spandex,304,Indonesia,Blouse,74.9,22769.6,2020,Jul,Anna Randolph,Megan Garrett
jute,46,Vietnam,Jacket,34.93,1606.78,2020,Jan,Michael Vargas,Kelly Meyer
batik,253,United States,Shirt,91.05,23035.65,2022,Jul,Amanda Booker,Alexandra Smith
batik,203,Vietnam,Pants,0.45,91.35,2022,Jan,Kayla Lopez,Daniel Barton
silk,7,Hong Kong,Skirt,41.96,293.72,2020,Oct,Richard Pearson,Miranda Peterson
cotton,220,China,Skirt,31.93,7024.6,2022,Nov,Gabriella Mosley,Theresa Simpson
batik,176,Indonesia,Skirt,19.65,3458.4,2020,Mar,Gregory Briggs,Destiny Hawkins
jute,441,Korea,Shirt,46.14,20347.74,2022,Jun,Dr. Scott Cuevas,Nicole Johnson
flax,287,Pakistan,Blouse,96.03,27560.61,2021,Feb,Dylan Bowman,Danielle Brandt
flax,332,Turkey,Skirt,56.64,18804.48,2022,Nov,Robert English Jr.,Brittany Ross
silk,129,Malaysia,Shirt,29.0,3741.0,2020,May,Zachary Norman,Sarah Wyatt
flax,469,Bangladesh,Headwear,81.0,37989.0,2020,Aug,Kimberly Simon,Sharon Johnson
batik,390,India,Dress,82.57,32202.3,2021,May,Donna Mckinney,Dale Woods
batik,186,Vietnam,Blouse,0.92,171.12,2021,Feb,Brittany Johnson MD,Kayla White
spandex,22,Pakistan,Dress,67.34,1481.48,2021,May,Sandra Aguilar,Carl Davis
cotton,273,Japan,Bags,1.91,521.43,2020,Jan,Mary May,Scott Rodriguez
batik,471,Japan,Scarf,44.98,21185.58,2020,Nov,Haley Cowan,Brooke Moore
batik,237,Malaysia,Shirt,77.3,18320.1,2020,Jan,Lori Hebert,Todd Huang
wool,457,Hong Kong,Jacket,99.22,45343.54,2021,Apr,Anna Wolfe,Thomas Hernandez
batik,410,Vietnam,Blouse,36.59,15001.9,2021,Mar,Nicholas Dickson,Dr. Mark Fernandez
cotton,423,Japan,Pants,17.17,7262.91,2021,Jul,Andrea Acosta,Heather Moses
wool,172,Japan,Shirt,32.84,5648.48,2021,Jan,Alicia Nixon,Lawrence Johnson
wool,194,Vietnam,Dress,59.85,11610.9,2020,Feb,Keith Wallace,Tiffany Rich
batik,151,Indonesia,Scarf,4.94,745.94,2021,Oct,Susan Smith,Jason Hall
batik,159,Pakistan,Headwear,27.51,4374.09,2022,May,John Price,Gabriela Johnson
spandex,418,United States,Dress,40.13,16774.34,2020,Sep,Zachary James,Regina Willis
silk,396,Indonesia,Headwear,63.84,25280.64,2021,Jul,Robert Jones,Becky Edwards
jute,423,United States,Blouse,13.55,5731.65,2022,Nov,Craig Jones,Erica Taylor
rayon,334,Malaysia,Shawl,64.54,21556.36,2021,May,Timothy Allen MD,Denise Potter
rayon,39,Malaysia,Skirt,41.53,1619.67,2020,Jul,Mark Brown,Felicia Thompson
batik,413,India,Headwear,51.9,21434.7,2021,Sep,Donald Williams,Jamie Burns
rayon,339,Vietnam,Dress,91.01,30852.39,2022,Jul,Ann Welch,Erin Curtis
batik,77,Vietnam,Dress,86.78,6682.06,2022,Jun,John Thompson,Charles Contreras
polyester,335,Japan,Skirt,6.73,2254.55,2022,Jul,Sara Bowen,Stephanie Guerra
rayon,311,Japan,Scarf,99.17,30841.87,2022,Nov,Eric Tapia,Samuel Duncan
silk,117,India,Shirt,47.85,5598.45,2020,Dec,Christopher Smith,Charles Hines
linen,191,United States,Shawl,58.28,11131.48,2020,Jul,Kelli Morales,David Melton
polyester,189,United Kingdom,Shawl,69.04,13048.56,2021,Aug,Mary Ho,John Benson
rayon,263,Vietnam,Dress,24.22,6369.86,2022,Sep,Crystal Stevens,Dana Williams
wool,171,Hong Kong,Scarf,63.6,10875.6,2020,Jul,Jeffrey Bell,William Perez
batik,299,Vietnam,Dress,19.57,5851.43,2022,Jul,Emily Lopez,Jasmine Taylor
jute,301,United States,Blouse,3.44,1035.44,2021,Sep,Kurt Lee,Jasmine Hanson
spandex,419,Bangladesh,Scarf,3.36,1407.84,2020,Nov,Michael Lamb,Jessica Rojas
polyester,67,India,Pants,91.39,6123.13,2020,Oct,Reginald Patterson,Laura Kline
jute,22,Bangladesh,Jacket,40.91,900.02,2021,Jul,Christopher House,Whitney Thomas
cotton,257,Korea,Scarf,45.92,11801.44,2021,Nov,Whitney Hebert,Brandon Rivera
flax,118,China,Skirt,85.02,10032.36,2020,Nov,William Gray,Jonathan Green
silk,342,Hong Kong,Scarf,19.79,6768.18,2021,Jan,Chris Sanchez,John Cox
nylon,488,Vietnam,Headwear,54.49,26591.12,2020,Nov,Roger Diaz,Morgan Hughes
batik,109,Hong Kong,Dress,63.97,6972.73,2022,Oct,Debbie Sosa,Rebekah Hernandez
polyester,145,Japan,Blouse,95.56,13856.2,2022,Dec,Thomas Davis,Tyler Gentry
linen,257,Malaysia,Dress,67.47,17339.79,2020,Jan,Robert Miller,Brian Ryan
jute,416,Hong Kong,Shawl,36.33,15113.28,2022,Jan,Paige Santos,Brittney Hardy
nylon,185,Italy,Shirt,13.45,2488.25,2022,Jul,Jennifer Martin,Debra Sexton MD
wool,3,China,Blouse,76.37,229.11,2020,Jun,Jonathan Johnson,Jesse Sampson
jute,214,Malaysia,Dress,35.37,7569.18,2020,Jul,Zachary Hicks,Jill Cooper
silk,230,United Kingdom,Blouse,42.17,9699.1,2021,Jul,Katherine Yoder,Troy Thomas
wool,62,Vietnam,Scarf,37.58,2329.96,2022,Jul,Regina Garcia,Pamela Olson
batik,419,United Kingdom,Shirt,68.92,28877.48,2020,Feb,Timothy Valdez,Mr. Thomas Robbins
batik,256,United States,Shirt,91.04,23306.24,2022,Jul,Richard Duncan,Robert Edwards
