type_of_textile,qty_exported,countries_exported,type_of_product,price_of_product,year_of_export,month_of_export,customer_name,seller_name
wool,242,Canada,shawl,496.06,2021,2,Scott Rogers,Michelle Williams
polyester,228,South Korea,blouse,830.89,2020,7,Kyle Andrews,Sherry Reynolds
batik,101,South Korea,blouse,564.75,2021,12,Miranda Stuart,Ms. Penny Richardson
cotton,74,India,blouse,739.1,2022,5,Mackenzie Kennedy,Elizabeth Allison
linen,482,United States,headwear,20.87,2021,2,Ryan Perez,David Thompson DDS
linen,236,France,shawl,721.5,2020,2,Latoya Pollard,Jermaine Rodriguez
cotton,137,Japan,skirt,828.74,2020,3,James Clay,Gary Mendez
wool,12,France,pants,54.98,2020,10,Samantha Briggs,Maria Harper
wool,147,New Zealand,blouse,957.98,2020,3,Justin Rosales,Samantha Jones
batik,492,Netherlands,skirt,849.82,2021,12,Cynthia Gutierrez,Kristin Simpson
polyester,34,Japan,scarf,574.13,2021,2,Tara Blake,Carrie Morris
cotton,378,France,shirt,627.87,2020,1,Denise Mercer,Jerry Peterson
silk,74,Japan,shirt,287.65,2022,5,David Nunez,Stacy Marquez
wool,493,Canada,shirt,765.76,2020,8,Cody Ballard,Shawn Howard
rayon,324,Germany,headwear,15.02,2020,2,Cheryl Wood,Michelle Barton
rayon,426,South Korea,bags,506.86,2022,5,Thomas Alvarado,Jasmin Wells
cotton,124,United States,skirt,678.25,2022,8,Ronald Watson,Robert Livingston
polyester,464,Germany,scarf,739.02,2021,10,Kelly Smith,Edward Gonzalez
wool,336,Germany,shawl,72.17,2022,3,Andrea Case MD,Martha Snyder
linen,142,Canada,scarf,949.05,2020,8,Steven Hines,Deanna Kidd
silk,386,Netherlands,headwear,183.26,2022,8,Sheila Morgan,Janice Scott
cotton,325,United Kingdom,pants,25.41,2021,1,Harry Bennett,Andrew Adkins
wool,262,Hong Kong,shirt,908.45,2022,3,Ms. Melissa Floyd MD,Jonathan Hood
linen,45,Italy,pants,275.84,2020,6,Gary Rogers,Stacey Bell
linen,231,United States,skirt,537.98,2022,5,Ernest Nguyen,John Hall
batik,248,Italy,dress,527.05,2020,10,Paula Jackson,Christopher Watson
polyester,355,India,skirt,80.59,2021,2,Shane Hall,Nancy Cannon
rayon,392,India,shawl,263.04,2022,6,Andrew Terry,Roberto Glenn
wool,442,Hong Kong,shawl,792.92,2021,11,Angela Hill,Natalie Curtis
silk,340,Germany,shirt,633.57,2022,10,Christopher Smith Jr.,Mrs. Jessica Franco
wool,250,Germany,skirt,744.79,2022,7,Lisa Haynes,Justin Jefferson
silk,466,Netherlands,bags,578.94,2022,3,Megan Dyer,Stephen Neal
rayon,113,United States,bags,720.33,2021,12,Samantha Galloway,Danielle Guzman
wool,222,Netherlands,jacket,193.67,2020,5,David Nguyen,Patricia Schultz
wool,56,Australia,headwear,663.17,2022,1,Kathleen Brown,Amy Sawyer
batik,364,Australia,shirt,203.58,2022,3,Mr. Adam Moreno,Marilyn Cardenas
polyester,251,France,dress,209.82,2020,4,Laura Kennedy,Kevin Chapman
rayon,324,France,bags,370.7,2021,9,Robert Rodriguez,Anthony Wilson
linen,160,Germany,jacket,374.4,2021,9,Eugene Jordan,Gary Munoz
polyester,39,Italy,shawl,542.49,2021,11,Mitchell Carrillo,Todd Rogers
cotton,237,Italy,skirt,201.15,2020,8,Richard Clark,Krystal Wyatt
wool,80,Hong Kong,pants,804.22,2022,1,Taylor Williams,Jeffrey Adams
rayon,56,India,jacket,537.29,2021,9,Chad Reed,Amanda Burton
polyester,453,New Zealand,bags,93.98,2021,9,David Baker,Michael Everett
polyester,385,Japan,headwear,313.87,2021,3,Dennis Brown,Traci Griffin
linen,67,Germany,skirt,336.86,2020,10,Pamela Cox,David Gray
batik,60,Hong Kong,blouse,296.88,2021,3,Kyle Hall,Catherine Macias
wool,4,Italy,blouse,176.46,2020,10,Brianna Fernandez,Paige Barnes
silk,205,India,skirt,716.79,2020,7,Jeffrey Baldwin,Lindsey Hess
cotton,378,United States,bags,75.33,2021,7,Ralph Pena,Kayla Robinson
polyester,104,France,scarf,380.52,2020,4,Marie Rodriguez,Erin Jones
cotton,294,Australia,headwear,137.8,2022,2,Taylor Gonzales,David Davis
cotton,2,United Kingdom,jacket,621.35,2021,2,Jeffrey Martinez,Dustin Paul
batik,306,Canada,blouse,66.39,2020,5,Michael Jacobs,Tiffany Clark
batik,278,South Korea,headwear,981.44,2020,5,Robert Charles,Gloria Russell
batik,101,Japan,shawl,267.71,2021,1,Matthew Roman,Erika Rosales
wool,276,Netherlands,dress,486.62,2022,3,Jodi Johnson,Rachel Horton
wool,50,Germany,shawl,294.2,2021,9,Anne Martinez,Michelle Thompson
rayon,314,United States,dress,217.31,2021,10,Heather Lee,Dave Patton
cotton,393,United Kingdom,jacket,771.11,2020,10,Gary Jenkins,Marie Hogan
wool,28,Hong Kong,jacket,503.6,2022,10,John Woods,Thomas Trevino
linen,178,France,dress,364.19,2020,2,Terry Griffin,Robert Taylor
cotton,205,United States,dress,103.35,2022,4,Jessica Wong,Justin Farmer
wool,265,Canada,blouse,150.79,2021,2,Tracy Brooks,James White
polyester,201,Japan,headwear,619.32,2020,3,Mr. Cody Ward,Kevin Rogers
silk,316,United Kingdom,pants,981.75,2021,12,Brian Campbell,Vanessa Lynch
rayon,198,Germany,pants,551.36,2022,12,Christopher Thornton,Mrs. Aimee Patterson
silk,204,China,shawl,235.03,2021,2,Dr. Thomas Nash,Lori Young
silk,62,United Kingdom,headwear,897.8,2022,10,Shelby Carlson,Jacob Webster
polyester,342,Italy,scarf,895.98,2021,8,Michelle Reynolds,Latasha Livingston
batik,349,Canada,shirt,494.79,2020,8,Brian Green,Dawn Chen
cotton,251,Italy,skirt,63.69,2022,4,Shaun Wells,Kenneth Martinez
linen,18,Netherlands,skirt,539.26,2022,10,Megan Schwartz,Andrea Mccarthy
cotton,310,United Kingdom,pants,964.74,2022,10,Heather Smith,Nathan Matthews
linen,493,Italy,jacket,625.18,2022,6,David Williams,Allison Perry
rayon,332,Hong Kong,pants,260.4,2022,6,Alejandro Thompson,Sabrina Munoz
cotton,481,Italy,headwear,291.32,2021,8,Alison Harrison,Troy Gardner
silk,475,Netherlands,headwear,958.47,2020,6,Albert Lewis,Harold Graham
polyester,96,Italy,blouse,395.1,2021,2,Shawn Schultz,Maxwell Richardson
polyester,479,Spain,jacket,555.9,2020,5,Kristen Nguyen,Allison Gray
rayon,242,Canada,shirt,565.35,2020,5,Michele Sanchez,Edwin Bailey
rayon,63,Hong Kong,skirt,650.5,2022,10,Christine Palmer,Cassidy Barber
batik,150,United Kingdom,pants,539.1,2021,1,Brittney West,Monica Olsen
linen,17,Canada,scarf,307.51,2022,12,Victoria Williams,Joanne Marshall
wool,402,Netherlands,scarf,754.11,2022,9,Brooke Lopez,Jeremy Hammond
wool,8,United Kingdom,bags,67.4,2020,3,Brian Smith,Connie Franco
silk,319,Japan,headwear,342.23,2022,10,Patrick Norman,Barbara Silva
rayon,194,South Korea,shawl,885.08,2020,4,Ronald Scott,George Cook
linen,192,Hong Kong,dress,57.68,2020,12,Jamie Allison,Christopher Gibson
rayon,330,Hong Kong,skirt,978.98,2021,3,Nicole Macias,Ronald Rodriguez
wool,38,Hong Kong,scarf,7.02,2021,5,Heather Olsen,Allison Boyd
polyester,22,New Zealand,headwear,577.61,2021,6,Courtney Gomez,Amy Harris
linen,496,South Korea,bags,544.06,2021,4,Heather Moore,Debbie Moore
batik,376,Australia,blouse,813.0,2021,11,Brett Woodard,Amy Hampton
batik,66,Spain,bags,96.07,2022,1,Adrienne Decker,Kevin Sanchez
linen,330,Netherlands,bags,635.37,2021,7,Theresa Johnson,Lindsay Lin
silk,171,Italy,headwear,97.94,2020,9,Danielle Mccann,Lisa Moore
batik,238,Canada,dress,423.33,2021,2,Lisa Gates,Lance Parks
polyester,358,India,shirt,2.55,2022,6,Sarah Washington,Christopher Mitchell
polyester,77,Canada,blouse,695.59,2020,8,Ruth Brown,Scott Jones
polyester,332,Australia,dress,39.01,2021,12,Brooke Coleman,Rebecca Hayes
cotton,421,United States,pants,137.72,2022,10,Mrs. Valerie Perry,Joshua Chang
batik,494,Spain,dress,37.83,2020,4,Christian Silva,Amy Montgomery
linen,231,United States,bags,560.42,2022,4,Alexander Andrews,Jason Smith
batik,459,Canada,shirt,656.57,2020,3,Ashley Charles,Martin Rodriguez
cotton,17,New Zealand,pants,268.69,2022,3,Dominic Thomas,Mr. David Hamilton
polyester,62,China,pants,268.32,2021,4,Jacqueline Porter,Edward Taylor
wool,271,China,blouse,859.72,2020,6,Christian Middleton,Bryan Hebert
rayon,306,Italy,jacket,452.93,2022,3,Kelsey Lee,Sara Martin
batik,430,Japan,scarf,118.75,2021,11,Joshua Thompson,Alicia May
linen,328,Spain,bags,715.21,2022,2,Jennifer Morris,Christopher Bradley
silk,252,Hong Kong,shirt,967.81,2021,1,Renee Miller,Corey Nielsen
wool,443,Germany,scarf,149.31,2020,7,Richard Cooley,Christopher Parker
silk,442,Netherlands,pants,254.09,2020,2,Melissa Johnson,Michelle Carson
wool,406,New Zealand,scarf,146.01,2021,3,Olivia Cook,Kristine Dorsey
polyester,133,United States,bags,863.5,2022,2,Dylan Sanders,Garrett Cooper
linen,56,Japan,shirt,836.96,2022,9,William Thornton,Natalie Scott
silk,451,Spain,dress,314.58,2022,8,Michael Butler,Ashley Whitney
rayon,150,Canada,skirt,14.33,2021,9,Michael Grant,Victoria Gardner
wool,187,India,skirt,64.87,2021,10,Connie Herrera,Madeline Johnson
polyester,475,United Kingdom,blouse,71.83,2020,9,Barbara Kelly,Tiffany Edwards
rayon,30,Germany,pants,359.15,2021,8,Bruce Haney,Jimmy Gutierrez
polyester,163,United States,shawl,148.19,2021,4,Jessica Werner,Troy Kelley
linen,470,Germany,shirt,668.62,2022,8,Caroline Smith,Miss Katie Ward DVM
silk,486,United States,jacket,898.23,2021,10,Katelyn Carney,Sarah Howell
wool,37,Hong Kong,dress,251.88,2020,9,Dylan Jenkins,Michele Ramirez
rayon,215,United States,scarf,352.25,2021,1,Jenny Green,Jessica Taylor
cotton,24,France,scarf,696.32,2021,4,Pamela Floyd,Jeanne Costa
linen,488,Canada,headwear,470.58,2020,5,Hannah York,Cheryl Rodriguez DVM
rayon,286,Japan,headwear,449.94,2020,8,Andrea Brennan,Autumn Cabrera
batik,124,Italy,headwear,575.33,2020,10,Alison Sutton,Shelly Johnson
polyester,132,Hong Kong,bags,890.73,2020,9,Scott Miller,Douglas Ortega DDS
rayon,197,South Korea,skirt,917.06,2021,2,Justin Washington,Michael Leonard
silk,500,Canada,dress,220.16,2022,8,Jeremy Wells,Bradley Mitchell
batik,230,United Kingdom,dress,204.68,2020,9,Katherine Freeman,Matthew Wilson
batik,190,Australia,pants,333.96,2022,11,Jessica Morales,Jesse Perkins
polyester,249,Japan,shirt,122.43,2022,11,Brandon Rodriguez,Rebecca Garrett
wool,446,Spain,skirt,559.92,2020,5,Kelsey Carroll,Albert Rogers
linen,157,United States,scarf,661.03,2020,1,Nicole Johnson,Mark Jones
silk,240,India,blouse,983.38,2021,10,Nicholas Riggs,Karen Lee
cotton,239,Spain,bags,180.93,2022,11,Brian Gomez,Clinton Simon
linen,387,Japan,scarf,240.54,2022,5,Timothy Wright,Anna Murphy
wool,409,United States,dress,267.32,2022,3,Ricardo Allison,Daniel Nguyen
polyester,347,South Korea,shawl,316.88,2020,9,Christopher Griffin,Kenneth Nelson
wool,476,Japan,skirt,241.84,2021,12,Daniel Roberts,Gregory Grimes
wool,424,United Kingdom,pants,25.69,2020,11,Catherine Johnson,Joseph Woods
polyester,290,Canada,headwear,307.31,2021,9,Sherry Perry,Kelly Campbell
polyester,182,Italy,shirt,345.14,2022,12,John Ray,Mikayla Burns
polyester,274,Australia,shirt,401.72,2021,12,Laura Norris,Samuel Terry
batik,93,New Zealand,dress,179.48,2022,8,Terry Jackson,Chloe Thompson
cotton,419,Hong Kong,headwear,371.61,2020,5,Kristin Jones,Marcus Andrews
rayon,499,United States,blouse,34.79,2021,5,Jeffrey Rodgers,Patricia Campbell
polyester,42,Netherlands,headwear,778.58,2020,4,Victoria Case,Adam Winters
polyester,484,Spain,dress,403.47,2021,11,Sherri Cline,Kristi Green
silk,337,Hong Kong,shawl,505.77,2021,5,Alexa Williams,Thomas Burton
rayon,381,Hong Kong,dress,891.26,2022,8,Anthony Harris,Kendra Collins
cotton,231,Spain,skirt,706.03,2022,12,Christine Lewis,Sonya George
rayon,396,France,jacket,945.22,2022,11,Sandra Bradley,Brittany Mitchell
wool,79,Canada,scarf,291.09,2020,9,Curtis Price,Lindsey Duncan
silk,367,Germany,jacket,951.4,2021,8,Brandon Ferguson,Christopher Orr
wool,342,Germany,blouse,111.89,2022,1,Victoria Beasley,Thomas Simmons
linen,161,Italy,shirt,159.34,2020,1,Terri Edwards,James Mccormick
polyester,77,Hong Kong,shirt,994.75,2020,8,Scott Jenkins,Ryan Santiago
batik,91,Germany,bags,232.5,2021,3,Kristin Ponce,Donald Torres
silk,300,New Zealand,headwear,111.35,2022,10,Pam Montoya,Ashley Grimes
polyester,333,United Kingdom,headwear,587.07,2020,5,Holly Parker,Aaron Rivera
linen,330,Italy,shirt,383.65,2022,5,Kaitlyn Pacheco,Michael Miller
rayon,148,Germany,jacket,809.43,2022,4,Kathryn Delacruz,Douglas Hernandez
silk,452,South Korea,blouse,257.11,2021,8,Melissa Garza,Lisa Wallace
rayon,94,South Korea,scarf,143.12,2022,10,Leah Taylor,Jessica Sharp
cotton,496,Canada,dress,275.22,2022,11,Lynn Williams,Amy Reynolds
silk,430,Canada,headwear,101.74,2020,3,David Nguyen,Amy Rogers
cotton,104,Germany,shawl,221.72,2020,8,Jason Lester,Jillian Butler
wool,500,India,shirt,403.17,2022,8,Hayley Wilson,Kristin Johnson
linen,398,Australia,scarf,751.73,2022,4,Larry Lara,Kimberly Daniels
polyester,44,Spain,dress,214.75,2020,1,Kelly Allison,Lisa Bird
cotton,111,Germany,pants,603.28,2022,4,Mr. Peter Gonzalez,Jason Finley
rayon,239,South Korea,shirt,205.33,2020,3,Elizabeth Ross,Patrick West
linen,280,United States,headwear,520.13,2022,5,Olivia Jenkins,Wendy Price
cotton,346,Australia,pants,338.4,2020,7,Greg Rogers,Crystal Bright
polyester,118,China,jacket,524.88,2022,1,Jennifer Cline DVM,Mary Hughes
polyester,410,China,pants,572.38,2022,5,Wendy Morrison,Amy Noble
silk,290,Hong Kong,dress,550.58,2022,9,Donald Callahan,Kristen Sandoval
rayon,360,Netherlands,pants,110.23,2020,9,Zachary Fox,Stephen Murphy
linen,242,China,jacket,820.94,2022,7,Erika Dougherty,Frances Thornton
wool,429,Germany,scarf,251.54,2021,8,Ariel Benson,Diane Cole
silk,445,United States,jacket,745.39,2022,3,Heather Daugherty,Courtney Maldonado
cotton,460,Netherlands,dress,162.18,2022,8,Melissa Tapia,David Rosario
polyester,287,Australia,bags,135.71,2020,10,Taylor Hughes,Katie King
batik,367,New Zealand,skirt,282.16,2022,5,Amber Scott,Lori Garcia
polyester,284,Japan,headwear,204.4,2020,3,Dean Perez,Sarah Phillips
polyester,445,Australia,headwear,462.89,2020,1,Brett Frederick,Jessica Taylor
silk,378,Australia,blouse,239.1,2021,10,Selena Carter,Jennifer Bernard
rayon,292,South Korea,pants,297.04,2020,7,Nicole Cox,Steven Pena
rayon,255,France,jacket,572.5,2022,6,Andre Kidd,Victoria Butler
linen,259,New Zealand,dress,976.68,2022,1,Scott Ewing,Carmen Ingram
rayon,80,Australia,scarf,53.87,2021,8,Michael Le,Bianca Bell PhD
silk,34,France,shawl,235.65,2020,5,Carlos Cox,Connie West
polyester,217,Japan,dress,207.77,2021,4,Sierra Shaw,Jason Maxwell
silk,329,Canada,shawl,123.67,2022,2,Nicholas Lee,Sean Hall
cotton,219,South Korea,scarf,665.35,2020,12,Keith Williams,Kimberly Sullivan
wool,4,Australia,scarf,978.67,2020,12,Christopher Green,Jeffrey Ware
linen,412,India,skirt,334.89,2021,3,Lisa Brown,Deborah Garrett
wool,91,New Zealand,shirt,624.29,2021,11,John Baldwin,Regina Wong
rayon,1,India,dress,494.32,2022,10,Angela Green,Christina Kramer MD
silk,266,United Kingdom,dress,205.74,2021,8,Betty Payne,Lee Thomas
batik,324,New Zealand,scarf,667.18,2022,7,John Peters,Sharon Paul
silk,131,New Zealand,shawl,681.61,2020,4,Amanda Barr,Lisa Brown
wool,38,Italy,pants,423.55,2022,2,Dr. Alec Flores DDS,Isaiah Duncan
linen,190,New Zealand,dress,957.5,2020,5,Bonnie Ramirez,Carrie Bowen
cotton,103,India,headwear,216.05,2021,2,Terry Franklin,Terrence Brock
silk,375,Japan,dress,703.66,2022,4,Bruce Mcclain,Cassandra Mejia
polyester,388,India,shirt,191.71,2020,5,Kimberly Blake,James Carroll
linen,96,Japan,shawl,395.33,2020,12,Robin Harris,Janet Richardson
silk,288,China,bags,474.18,2020,1,Jay Jackson,William Boyd
polyester,67,United Kingdom,blouse,638.2,2020,4,Rebecca Rasmussen,Justin Nelson
batik,283,Australia,bags,769.46,2021,6,Thomas Chaney,Christopher Johnson
batik,271,Hong Kong,bags,476.94,2022,10,Mariah Smith,Matthew Williams
batik,214,Japan,scarf,67.86,2022,6,Tina Peterson,Dylan White
batik,459,Australia,dress,551.34,2020,3,Donna Hopkins,Warren Lowe
linen,334,Hong Kong,shawl,397.7,2021,5,Pamela Tran,Veronica Sims
silk,230,Hong Kong,headwear,467.89,2020,9,Tamara Mcintosh,Christopher Wise
linen,429,New Zealand,pants,817.0,2020,12,Cassandra Hunt,Jeremiah Spencer
batik,396,Australia,pants,289.44,2022,3,Douglas Chandler,Sarah Mullins
batik,476,France,skirt,505.14,2021,5,Cody Scott,Denise Jimenez
polyester,4,New Zealand,blouse,911.3,2022,11,Mary Garrison,Omar Garcia
rayon,4,China,bags,847.49,2020,5,Timothy Clark,Angela Mahoney
cotton,186,Hong Kong,shawl,462.52,2021,10,Christopher Nelson,Brandy Martinez
wool,214,New Zealand,dress,147.39,2020,11,Ms. Megan Alvarado,Nicole West
polyester,163,Canada,blouse,907.85,2021,10,James Reed,Monique Fisher
linen,489,South Korea,blouse,230.3,2020,12,Nancy Strong,Steven Cunningham
batik,114,Hong Kong,jacket,167.33,2022,4,Benjamin Burnett,Robert Gonzalez
silk,481,Italy,blouse,522.34,2020,2,Gina Jenkins,Anthony Stewart
silk,205,Canada,pants,612.55,2022,6,Victoria Johnson,Austin Shelton
wool,249,Hong Kong,skirt,25.5,2021,6,Darryl Reid,Michelle Hunter
silk,308,Canada,headwear,42.34,2022,4,Angela Parrish,Jason Myers
linen,335,Italy,dress,267.66,2020,7,Sean White,Sarah Henderson
polyester,438,Hong Kong,scarf,301.08,2022,8,Kenneth Ferrell,Beth Cooper
wool,114,Japan,skirt,656.71,2022,12,Joshua Fernandez,Brendan Clayton
linen,274,United States,bags,656.53,2022,8,Jacob Smith,Aaron Berg
batik,281,Italy,skirt,477.08,2022,2,Julia Mitchell,Michele Hawkins
linen,311,Italy,shirt,442.96,2021,5,Crystal Stephens DDS,Ernest Hancock
batik,235,South Korea,bags,71.34,2021,9,Veronica Thomas,Angela Terry
wool,412,China,blouse,162.94,2022,7,Jane Welch,Kevin Bruce
linen,205,South Korea,bags,108.27,2020,6,David Goodwin,Timothy Alvarez
rayon,268,Japan,skirt,141.86,2021,11,Cheryl Jackson,Nathaniel Brown
silk,36,Japan,pants,689.32,2021,7,Michael Arnold,Jay Cole
batik,464,Netherlands,dress,958.83,2022,7,Gregory Russell,Jacob Hawkins
batik,363,Italy,pants,475.95,2022,5,Nicole Brown,Brian Simon
batik,249,China,pants,795.54,2021,11,Jesse Anderson,Michael Cruz
rayon,223,United States,shawl,283.91,2022,4,Shawn Velez,Mary Gonzalez
batik,30,United States,shawl,145.16,2022,6,Jason Rose,Tyler Holden
rayon,96,United Kingdom,pants,318.55,2022,12,Sarah Miller,Marcus Johnson
polyester,31,France,skirt,557.69,2022,1,Kayla Marshall,Pamela Frey
linen,444,India,headwear,919.78,2020,2,Deborah Johnson,Cynthia Wilkins
polyester,60,Canada,shawl,493.95,2021,4,Erica Bell,Vincent West
linen,102,Japan,jacket,133.67,2021,2,Lynn Perez,Bruce Alexander
wool,378,Italy,blouse,450.69,2020,11,Todd Clarke,Brandon Nelson
rayon,356,India,scarf,260.31,2021,4,Kristina Jones MD,Kelly Martin
rayon,339,Germany,headwear,948.05,2021,10,Melanie Harris,Shawn Eaton
linen,341,Australia,dress,525.75,2021,11,Grant Lamb,Kevin Frye
cotton,333,Spain,blouse,73.27,2020,1,Wendy Boyer,Matthew Wilson
silk,84,Italy,bags,925.77,2022,2,William Kerr,William Henderson
wool,390,France,shirt,214.85,2020,3,Jeffrey Werner,Herbert Herrera Jr.
batik,336,China,dress,26.06,2021,5,Michael Gray,Sean Jackson
silk,10,India,blouse,125.88,2022,1,Keith Rodriguez,Joanna Neal
rayon,361,Germany,blouse,79.59,2021,1,Jeremy Arellano,Jennifer Harrison
rayon,446,India,jacket,393.78,2020,12,Joel Mitchell,Catherine Lewis DDS
silk,414,Canada,blouse,154.14,2022,7,Stephanie Turner,Cody Dunn
linen,494,Hong Kong,shirt,422.62,2021,2,Rhonda Gallagher,Edward Johnson
batik,476,France,dress,812.42,2020,8,Jasmine Kennedy,Hannah Moody
polyester,89,Spain,shawl,732.91,2022,5,Wayne Ward,Malik Salazar
batik,250,Germany,headwear,162.82,2020,11,Jerry Mcdonald,Regina Chavez
polyester,481,United Kingdom,dress,949.66,2020,1,Jennifer Paul,Andrea Gallegos
batik,312,Germany,skirt,879.85,2021,1,Dr. Chelsey Johnson,James Smith DDS
wool,199,Australia,shawl,358.47,2021,1,Austin Cline,Maria Cherry
batik,38,South Korea,shawl,308.33,2021,2,William Christian,Jonathan Shaw
cotton,168,South Korea,dress,155.4,2021,5,Bethany Brown,Joshua Taylor
linen,497,Germany,dress,170.01,2021,9,Adam Cox,Christopher Kelly
cotton,147,Germany,blouse,353.55,2020,3,Bonnie David,Henry Parsons
silk,42,United States,pants,518.24,2022,4,Sean Thomas,Elizabeth Lee
